"week","stringency_index","reproduction_rate","temp","humidity","precip","windspeed","new_cases","new_deaths","icu_patients","hosp_patients","case_fatality"
"2021-09-27",41.3471428571429,0.00293041896131096,13.7571428571429,82.6714285714286,7.287,32.3714285714286,11871,35,992,2188,0.00294836155336534
"2021-10-04",38.9385714285714,0.00158322256218991,12.0428571428571,87.3857142857143,4.48628571428571,21.9714285714286,16836,25,909,2396,0.00148491328106439
"2021-10-11",35.7371428571429,0.00186067340510001,12.0571428571429,79.8,1.58742857142857,25.0142857142857,24704,46,970,2739,0.00186204663212435
"2021-10-18",35.7071428571429,0.00185564152176177,11.6142857142857,82.9,5.74342857142857,31.7714285714286,36828,70,1165,3521,0.00190072770717932
"2021-10-25",35.6771428571429,0.00184990178063011,11.9714285714286,88.9142857142857,3.18585714285714,28.2571428571429,51903,97,1449,5184,0.00186887077818238
"2021-11-01",35.6514285714286,0.00205545133639743,8.4,87.6142857142857,1.708,24.2857142857143,73084,150,1878,7522,0.00205243281703246
"2021-11-08",38.8057142857143,0.00182097245949005,9.47142857142857,90.4285714285714,1.513,19.9428571428571,101512,173,2397,9577,0.00170423201197888
"2021-11-15",46.7171428571429,0.00154281053001007,8.91428571428571,87.9428571428572,0.496142857142857,22.4142857142857,151013,232,2906,12017,0.0015362915775463
"2021-11-22",47.7442857142857,0.00226178808145268,5.28571428571429,88.5571428571429,4.19728571428571,20.9857142857143,155748,351,3627,14287,0.00225364049618615
"2021-11-29",51.4128571428571,0.00233333523414665,5.45714285714286,89.2142857142857,6.19314285714286,30.7285714285714,151920,351,4143,15140,0.00231042654028436
"2021-12-06",54.0257142857143,0.00364043098951669,4.75714285714286,90.8857142857143,2.65685714285714,27.1714285714286,121324,444,4398,15115,0.00365962216873825
"2021-12-13",55.4271428571429,0.00365541947146185,8.07142857142857,94.0857142857143,0.313285714285714,16.3571428571429,98000,356,4362,13431,0.00363265306122449
"2021-12-20",63.89,0.00295515450639523,1.6,84.1714285714286,0.981428571428571,18.8857142857143,84375,248,3957,11366,0.00293925925925926
"2021-12-27",65.4757142857143,0.00224706379041485,10.0571428571429,91.6857142857143,2.39414285714286,33.7428571428571,104414,241,3463,9423,0.00230811960081981
"2022-01-03",69.44,0.000682385815367947,5.57142857142857,84.3,3.65985714285714,32.7857142857143,192099,123,3018,8047,0.000640294847969016
"2022-01-10",61.5757142857143,0.000318379214297894,4.21428571428571,94.3142857142857,0.134714285714286,17.6714285714286,242152,75,2481,7049,0.000309722818725429
"2022-01-17",50.2257142857143,0.000172208594665198,5.21428571428571,87.7428571428571,0.426857142857143,21.6571428571429,399517.5,59,2058,5921,0.000147678136752458
"2022-01-24",49.6785714285714,0.000146890320306562,6.01428571428571,80.1714285714286,0.304,27.4142857142857,478394,62,1656,6357,0.000129600287629025
"2022-01-31",48.3257142857143,0.000119969287595402,7.12857142857143,84.5142857142857,5.03828571428571,45.0285714285714,537287,62,1505,7916,0.000115394565660438
"2022-02-07",48.32,0.000133696021609323,6.32857142857143,78.2714285714286,0.877142857142857,34.0571428571429,521600,66,1388,9222,0.000126533742331288
"2022-02-14",37.7171428571429,0.000283293778673479,8.25714285714286,80.0428571428571,7.33842857142857,59.2857142857143,329102,89,1232,9896,0.00027043287491416
"2022-02-21",32.8942857142857,0.000249045701749416,5.91428571428571,77.4857142857143,2.329,37.0142857142857,251871.5,65,1160,9476,0.000258068102187028
"2022-02-28",30.5,0.000193430759138841,4.52857142857143,68.3714285714286,0.228285714285714,19.9428571428571,374455,64,1088,8763,0.000170915063225221
"2022-03-07",30.5,0.000198569972483415,8.07142857142857,57.2,0.0165714285714286,26.2,461029,95,1114,10365,0.000206060790102141
"2022-03-14",19.3857142857143,0.000248513907614968,8.31428571428571,72.7142857142857,0.248571428571429,25.5571428571429,343234,86,1050,12387,0.000250557928410356
"2022-03-21",18.0328571428571,0.000432843151517552,9.85714285714286,67.0714285714286,0,16.0428571428571,242522,106,1058,12783,0.000437073750010308
"2022-03-28",17.49,0.000703727247913892,4.94285714285714,77.7142857142857,3.48057142857143,26.9142857142857,156521,115,872,12454,0.000734725691760211
"2022-04-04",18.8357142857143,0.00104622657872145,7.75714285714286,79.0571428571429,4.866,40.5,78693,85,715,10506,0.0010801468999784
"2022-04-11",19.37,0.00183420899386487,11.4142857142857,66.6142857142857,0.0101428571428571,20.7428571428571,33055,63,654,8571.25,0.00190591438511572
"2022-04-18",16.1985714285714,0.00334511482232842,12.6428571428571,59.5285714285714,0.00128571428571429,27.1142857142857,17390,60,577,7091.25,0.00345025876940771
"2022-04-25",15.67,0.00294017864352613,8.67142857142857,74.3,0.0637142857142857,20.6,10836,32,482,5834,0.002953119232189
"2022-05-02",15.67,0.00214121215401661,11.5428571428571,73.5571428571428,0.00914285714285714,19.2428571428571,10426,23,330,4639.5,0.00220602340303088
"2022-05-09",15.67,0.00186328656378585,15.0428571428571,66.6285714285714,0.365285714285714,27.2571428571429,9093,18,274,3908,0.00197954470471791
